,feature,rmse_median_SAPS,rmse_25perc_SAPS,rmse_75perc_SAPS,r2_median_SAPS,r2_25perc_SAPS,r2_75perc_SAPS,r_median_SAPS,r_25perc_SAPS,r_75perc_SAPS
0,Activity,3.1495806314058834,3.0756830612408566,3.250013306665038,-0.0008602224389658852,-0.017614588548867827,9.970466538161693e-05,0.0,-0.0012160279586910998,0.053728413981708203
1,Alpha,3.137486241498147,3.0550477645385046,3.2546757791036844,-0.00056292930861912,-0.0018932385345604152,-4.450151635015942e-05,0.0,0.0,0.0
2,alphaPh_betaAmp,3.1590323250003363,3.067957853424887,3.234684887547495,-0.0005553664079744891,-0.0015469952422823008,-2.32875733809923e-05,0.0,0.0,0.0
3,alphaPh_gammaAmp,3.158026931550514,3.0518645353436114,3.2678179539934,-0.0008125715730145089,-0.004764110013814327,-9.104362297102098e-05,0.0,0.0,0.0
4,amp_env_meanAlpha,3.17431049355306,3.0604264007923434,3.2835206004155717,-0.0015500846696913095,-0.0216508835672245,-0.0004772190306782109,0.0,-0.07255275629074145,0.0
5,amp_env_meanBeta,3.1563922872737304,3.057373449298433,3.240573278591369,-0.000712765050777886,-0.002351966220459134,-2.3028400555402673e-05,0.0,0.0,0.03935507582881554
6,amp_env_meanDelta,3.136117778451094,3.0537343737310696,3.245019130665769,-0.000786302471459277,-0.002251677503164795,-8.775497341145799e-05,0.0,-0.017128383696541485,0.0
7,amp_env_meanGamma,3.155492627871113,3.0535469410340563,3.23039751853537,-0.0006925130459346507,-0.0016075729980696285,-8.809346454391465e-05,0.0,0.0,0.0
8,amp_env_meanTheta,3.1767914497447025,3.0946525430134137,3.2852991436115984,-0.0015480250514186,-0.033663227695136966,-0.0002376677117268966,0.0,-0.024058106306197213,0.0
9,amp_env_stdAlpha,3.1771389554537515,3.0661614445997567,3.319931766461624,-0.001284654443959532,-0.02016655261609812,-4.450151635015942e-05,0.0,-0.029905952241362936,0.0041772316326523905
10,amp_env_stdBeta,3.153397481783525,3.0589238011039437,3.244448356188488,-0.0007234625745093926,-0.0015595893991428578,-4.4887458007403236e-05,0.0,0.0,0.03119588381613101
11,amp_env_stdDelta,3.136117778451094,3.0550477645385046,3.245019130665769,-0.0007225440605405087,-0.0018895557616323,-8.820514761542775e-05,0.0,0.0,0.0
12,amp_env_stdGamma,3.1512533293705705,3.0535469410340563,3.2274571119229685,-0.0006407250437515666,-0.0015469952422823008,-8.809346454391465e-05,0.0,0.0,0.0
13,amp_env_stdTheta,3.174734079589193,3.0857463783531562,3.2852991436115984,-0.0011712150346956385,-0.030666877811468707,-0.0002135423158957095,0.0,-0.016717414270882754,0.0
14,amp_kurtAlpha,3.136117778451094,3.0535469410340563,3.226079001930639,-0.000660804183127861,-0.001562678826551922,-8.775497341145799e-05,0.0,0.0,0.0
15,amp_kurtBeta,3.1450100806005326,3.0550477645385046,3.2598134309620415,-0.0007283088634685297,-0.006272334846470939,-9.019975616869624e-05,0.0,-0.12788500247953483,0.0
16,amp_kurtDelta,3.1668514330349202,3.0550477645385046,3.242271386502422,-0.001237251716013854,-0.015906639305905468,-8.775497341145799e-05,0.0,0.0,0.04931046863953501
17,amp_kurtGamma,3.1590323250003363,3.0518645353436114,3.2852991436115984,-0.0006925130459346507,-0.0015469952422823008,-8.741992419691869e-05,0.0,0.0,0.0
18,amp_kurtTheta,3.136104231888297,3.0518645353436114,3.258108181743639,-0.00028396744687853026,-0.005216550217513216,0.002016331274712513,0.0,0.0,0.10066668559190581
19,amp_skewAlpha,3.149123751197164,3.04464994978674,3.296771799403376,-3.069548458800586e-05,-0.030393645291089233,0.028263816193073305,0.09714848546868632,0.0,0.1730128694792311
20,amp_skewBeta,3.155758148061471,3.0550477645385046,3.2598134309620415,-0.0008182020791557276,-0.003864361950966566,-8.809346454391465e-05,0.0,0.0,0.0
21,amp_skewDelta,3.15282124410604,3.0518645353436114,3.2598134309620415,-0.0007596650408520089,-0.0023216631551285505,-9.115645334850653e-05,0.0,-0.006099516336335226,0.0
22,amp_skewGamma,3.1622600392395865,3.0818642295307854,3.3124877573467626,-0.0011636958810635756,-0.03953436578691061,-8.775497341145799e-05,0.0,-0.03556805852874633,0.0010747137276539438
23,amp_skewTheta,3.1556060010582625,3.045954800763105,3.2468064928324325,-0.0008182020791557276,-0.013707569422939603,-3.8934242779897765e-05,0.0,-0.005908818841176477,0.04065552612726188
24,amp_total_powAlpha,3.1743102693398777,3.0604263841590646,3.2835204089629237,-0.0015500846696913095,-0.021650697924493922,-0.0004772190306782109,0.0,-0.07255291770906544,0.0
25,amp_total_powBeta,3.156392429569509,3.057373484288397,3.2405733557307053,-0.000712765050777886,-0.002351813128525837,-2.3028400555402673e-05,0.0,0.0,0.03935603054110996
26,amp_total_powDelta,3.136117778451094,3.0535469410340563,3.2584724637066933,-0.000786302471459277,-0.003861491209015966,-8.775497341145799e-05,0.0,-0.07650144195686626,0.0
27,amp_total_powGamma,3.1554926599947386,3.0535469410340563,3.230397505777539,-0.0006925130459346507,-0.0016075729980696285,-8.809346454391465e-05,0.0,0.0,0.0
28,amp_total_powTheta,3.176780824972244,3.0946770194094917,3.2852991436115984,-0.0015480250514186,-0.03365207159181066,-0.0002376677117268966,0.0,-0.02406915078993028,0.0
29,approxEnt,3.1561314957122457,3.0696571731240923,3.265925287623973,-0.0007652955469932277,-0.006086386724160064,-7.68144327737974e-05,0.0,0.0,0.0
30,Beta,3.165032586659338,3.0713705160311293,3.312058556974881,-0.0009328163491849617,-0.017331049793961883,-0.00023545619105957982,0.0,-0.04075108148990149,0.0
31,betaPh_gammaAmp,3.13172590196511,3.042370713953419,3.228344763350036,-6.566391058004939e-06,-0.0010502151671664128,0.010932591440561634,0.0655601258777522,0.0,0.20928127678167288
32,Complexity,3.1593903780812327,3.0550477645385046,3.2598134309620415,-0.0009328163491849617,-0.009505485284307558,-8.741992419691869e-05,0.0,0.0,0.004108311728691683
33,CorDim,3.12910953846136,3.0335716452762385,3.2270281743198073,-7.387207101694493e-06,-0.0011106209651604582,0.02034258904081085,0.06673924038418738,0.0,0.15679670515161392
34,Delta,3.155394416115498,3.0595325851373456,3.300018786114068,-0.0006852494259524944,-0.023285312005712377,0.0005647170354117492,0.0086846174666593,0.0,0.0994542087415662
35,deltaPh_alphaAmp,3.1649013846193608,3.0713705160311293,3.282151108384412,-0.0008755675482285952,-0.005861555075661717,-0.00017686833670405022,0.0,-0.13588031856164848,0.0
36,deltaPh_betaAmp,3.155167570863502,3.0535469410340563,3.2590717324023712,-0.0008182020791557276,-0.0033063223201226233,-8.775497341145799e-05,0.0,-0.07619337438772991,0.0
37,deltaPh_gammaAmp,3.155167570863502,3.0518502287342364,3.262553233117989,-0.0008125715730145089,-0.004885004213876498,-7.68144327737974e-05,0.0,-0.003358437843181735,0.0
38,DFA_exp_alpha,3.1488212356866923,3.059237671514243,3.245019130665769,-0.0007940722577711723,-0.0018177485987420083,-9.04242696176949e-05,0.0,0.0,0.0
39,DFA_exp_beta,3.161564342797993,3.0518645353436114,3.2852991436115984,-0.0008760692644643742,-0.0027857767277635337,-0.0001771123979476541,0.0,-0.009323771405439617,0.0
40,DFA_exp_delta,3.162510183219399,3.0670434106844646,3.2969227263175167,-0.0007915646485484595,-0.027660399629425347,0.002119742452322243,0.024827206067466176,0.0,0.08483438106392402
41,DFA_exp_gamma,3.136117778451094,3.0535469410340563,3.2407482733237494,-0.0007252122083417634,-0.0027582549493455066,-8.775497341145799e-05,0.0,0.0,0.0
42,DFA_exp_theta,3.1516543578419576,3.0713705160311293,3.2598134309620415,-0.0008259718654676229,-0.016648840622192074,-8.775497341145799e-05,0.0,-0.00546140810163594,0.0
43,el_dtf_betw_alpha,3.1650948128255654,3.0910715198022816,3.302297206679166,-0.0008433259686019268,-0.035221512641406105,-8.741992419691869e-05,0.0,-0.09007104528808225,0.0
44,el_dtf_betw_beta,3.145769307919098,3.051306144470576,3.2478494630381496,-1.4588236201817928e-05,-0.0030314412242471445,0.005618427440983537,0.0663033999133362,0.0,0.13270281194310524
45,el_dtf_betw_delta,3.15984436019145,3.0736095977327653,3.2909475161277872,-3.3734301035370784e-05,-0.013802564018785268,0.01515192508721766,0.054849529195919094,0.0,0.15374187183698246
46,el_dtf_betw_gamma,3.1555239228779985,3.0516819698392577,3.295944985420579,-0.0010042310474814853,-0.025812796091623236,0.005208927015446507,0.0038335808919095875,-0.01798481640761223,0.11163023225647756
47,el_dtf_betw_theta,3.1626640714214584,3.0583645888303925,3.3031716909590436,-0.0007558244882939213,-0.02260452900035531,0.00013014892504073505,0.0,-0.008471476432999446,0.0674343555854583
48,el_dtf_clus_alpha,3.1503914336379153,3.052296676064686,3.2793325522124377,-0.0010555748724671021,-0.029132543126588473,0.008230246472556824,0.038729038451573494,-0.00647027448893726,0.127622773601903
49,el_dtf_clus_beta,3.169046285004467,3.086253480032501,3.316580796876951,-0.00886034902614996,-0.047629527756004375,-9.093193989950787e-05,0.0,-0.06032391810257784,0.055772088433621976
50,el_dtf_clus_delta,3.169792172446924,3.0570409209862968,3.2981074102468253,-0.0020551533971558955,-0.03994099306335286,0.0024606394684843214,0.0,-0.05744032223739627,0.10615324055128182
51,el_dtf_clus_gamma,3.1754306092924853,3.0884768247953684,3.2757868462820663,-0.0034687261199768393,-0.043270097271348174,-8.741992419691869e-05,0.0,-0.05598664624773909,0.008637689289092082
52,el_dtf_clus_theta,3.1739533723714324,3.053743799673606,3.2731661548274626,-0.0018946154119223735,-0.02867519378943728,0.010822045466925556,0.03272290683359176,-0.006896038635012619,0.12792551941371882
53,el_dtf_str_alpha,3.1842535708560717,3.117916463297603,3.3166900249267663,-0.012609410663028231,-0.09125355832939797,0.00020886288067689662,0.035233807932603944,-0.008596925499582896,0.12129322083122908
54,el_dtf_str_beta,3.160374526583418,3.0510860043487584,3.2905237839796464,-0.0012841567403505394,-0.023608951294313063,0.010922473392740717,0.028360421832730548,-0.0017145903164278286,0.12592977911182515
55,el_dtf_str_delta,3.141794998053547,3.0544885522649534,3.2420173201049804,-0.0010260267979528281,-0.008064247785338097,-7.523208955056981e-05,0.0,-0.00501432693241888,0.01102549489169166
56,el_dtf_str_gamma,3.1461786986937375,3.038668356073446,3.2425160544339495,-0.00021084454170716693,-0.013733735779815737,0.020901497155207255,0.074768440993911,0.0,0.18344985606241265
57,el_dtf_str_theta,3.125114860478079,3.054483783395162,3.224273996713627,-6.304425490422094e-05,-0.007722437620324318,0.01459135374844503,0.05079096725964054,0.0,0.1436734407127497
